timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,ul_bandwidth,ul_throughput,rtt,retry,cwnd,loss_rate
1742812020.4012654,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,23,0,0,0,0,0,0,100,0,24,N/A,76.8,9.16,19.8,0,85,0.0
1742812021.6693366,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-6,24,0,0,0,0,0,0,100,0,24,N/A,83.3,9.92,18.4,0,85,0.0
1742812022.9401302,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-4,24,0,0,0,0,0,0,100,0,24,N/A,59.9,7.14,20.1,0,85,0.0
1742812024.2087622,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,16,0,0,0,0,0,0,100,0,24,N/A,100.0,11.9,18.5,0,85,0.0
1742812025.4799857,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,22,0,0,0,0,0,0,100,0,24,N/A,125.0,14.9,19.3,0,85,0.0
1742812026.7494333,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,24,0,0,0,0,0,0,100,0,24,N/A,140.0,16.7,18.9,0,85,0.0
1742812028.0232234,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,98.4,11.7,17.6,0,85,0.0
1742812029.2972407,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,24,0,0,0,0,0,0,100,0,24,N/A,95.1,11.3,18.7,0,85,0.0
1742812030.5685046,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,70.4,8.39,18.2,0,85,0.0
1742812031.840452,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,25,0,0,0,0,0,0,100,0,24,N/A,82.5,9.83,18.5,0,85,0.0
1742812033.109564,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,25,0,0,0,0,0,0,100,0,24,N/A,86.6,10.3,19.3,0,85,0.0
1742812034.3837519,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,25,0,0,0,0,0,0,100,0,24,N/A,108.0,12.9,17.4,0,85,0.0
1742812035.6546166,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,26,0,0,0,0,0,0,100,0,24,N/A,134.0,16.0,19.0,0,85,0.0
1742812036.9270298,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,25,0,0,0,0,0,0,100,0,24,N/A,158.0,18.8,25.0,0,85,0.0
1742812038.1958072,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,24,0,0,0,0,0,0,100,0,24,N/A,104.0,12.3,17.7,0,85,0.0
1742812039.4673657,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-6,23,0,0,0,0,0,0,100,0,24,N/A,87.6,10.4,18.6,0,85,0.0
1742812040.7377198,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,81.2,9.68,17.9,0,85,0.0
1742812042.0094943,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,90.7,10.8,17.5,0,85,0.0
1742812043.2793894,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,117.0,13.9,19.2,0,85,0.0
1742812044.5225961,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,25,0,0,0,0,0,0,100,0,24,N/A,143.0,17.0,19.7,0,85,0.0
1742812045.7872102,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,88.1,10.5,18.3,0,85,0.0
1742812047.0597582,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,25,0,0,0,0,0,0,100,0,24,N/A,81.5,9.71,20.0,0,85,0.0
1742812048.3168135,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,98.9,11.8,21.6,0,85,0.0
1742812049.558344,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,25,0,0,0,0,0,0,100,0,24,N/A,113.0,13.4,18.4,0,85,0.0
1742812050.8032632,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,135.0,16.1,18.4,0,85,0.0
1742812052.0481615,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,93.8,11.2,17.7,0,85,0.0
1742812053.293481,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,106.0,12.7,19.4,35,68,0.003962264150943396
1742812054.5382628,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,109.0,13.0,18.2,0,68,0.0
1742812055.7834332,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,23,0,0,0,0,0,0,100,0,24,N/A,96.7,11.5,18.8,0,68,0.0
1742812172.4549847,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-6,19,-77,-13,0,-77,-13,0,100,1,24,N/A,nan,nan,20.2,nan,nan,nan
1742812173.7291107,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,20,-77,-13,-1,-77,-13,-1,100,0,24,N/A,150.0,17.8,26.7,0,123.0,0.00
1742812175.002382,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,22,-77,-13,-1,-77,-13,-1,100,0,24,N/A,148.0,17.6,22.9,0,123.0,0.00
1742812176.2541106,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-7,19,-80,-15,-4,-80,-15,-4,100,0,24,N/A,148.0,17.6,23.7,0,123.0,0.00
1742812177.5053072,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-7,21,-78,-13,-2,-78,-13,-2,100,0,24,N/A,106.0,12.7,18.3,0,123.0,0.00
1742812178.7797527,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,19,-80,-13,-4,-80,-13,-4,100,0,24,N/A,68.3,8.15,19.0,0,123.0,0.00
1742812180.0554452,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-7,20,-79,-12,0,-79,-12,0,100,0,24,N/A,78.9,9.4,18.8,0,123.0,0.00
1742812181.331356,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,20,-78,-13,2,-78,-13,2,100,0,24,N/A,95.6,11.4,19.7,0,123.0,0.00
1742812182.605486,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,19,-78,-12,-4,-78,-12,-4,100,0,24,N/A,139.0,16.6,20.0,0,123.0,0.00
1742812183.855773,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-79,-13,-3,-79,-13,-3,100,0,24,N/A,98.2,11.7,21.1,0,123.0,0.00
